index_date,crude_steel_(thousand_ton),pig_iron_(thousand_ton)
1987-01-01,1896.9,1746.319
1987-02-01,1727.1,1638.401
1987-03-01,1724.9,1663.591
1987-04-01,1646.8,1608.434
1987-05-01,1737.1,1666.786
1987-06-01,1684.8,1635.887
1987-07-01,1843.2,1829.545
1987-08-01,1928.3,1874.354
1987-09-01,1985.1,1887.512
1987-10-01,2036.6,1964.91
1987-11-01,2006,1924.886
1987-12-01,1991.1,1894.096
1988-01-01,2052.5,1898.001
1988-02-01,1911.4,1767.497
1988-03-01,2109.7,1972.083
1988-04-01,1904.4,1797.255
1988-05-01,1920.2,1815.466
1988-06-01,1993.4,1909.238
1988-07-01,2103.4,2064.421
1988-08-01,2178.8,2141.489
1988-09-01,2195.9,2084.133
1988-10-01,2244.8,2119.699
1988-11-01,1904.2,1866.581
1988-12-01,2138.2,2018.515
1989-01-01,2141.5,2064.2
1989-02-01,1996.6,1925.3
1989-03-01,2121.6,2077.8
1989-04-01,2069.3,2045.5
1989-05-01,2004.7,1945.3
1989-06-01,1975.7,1910.9
1989-07-01,2101.8,2021.4
1989-08-01,2220.7,2125.4
1989-09-01,2136.9,2036.4
1989-10-01,2155.4,2089.9
1989-11-01,2045.4,2049.8
1989-12-01,2085.5,2071.1
1990-01-01,1963.3,1982.8
1990-02-01,1727.9,1757.8
1990-03-01,1892.1,1933.3
1990-04-01,1467.7,1627.6
1990-05-01,1540.7,1602.3
1990-06-01,1515.8,1544.4
1990-07-01,1627.8,1719.6
1990-08-01,1550.6,1584.7
1990-09-01,1804.5,1796.6
1990-10-01,1904.3,1941.9
1990-11-01,1732.8,1786
1990-12-01,1839.1,1863.9
1991-01-01,1845.3,1812.6
1991-02-01,1694.1,1658.9
1991-03-01,1914.5,1870.3
1991-04-01,1870.1,1864.3
1991-05-01,1930.8,1921.2
1991-06-01,1705,1644.1
1991-07-01,1866.9,1752.7
1991-08-01,1990.7,1993.6
1991-09-01,1996.4,2000.5
1991-10-01,2033.2,2060.6
1991-11-01,1945.7,1971.3
1991-12-01,1825.6,1914
1992-01-01,1925.9,1965.6
1992-02-01,1877.9,1701.1
1992-03-01,2036,1873.7
1992-04-01,1949.4,1831.9
1992-05-01,2059.4,1920.2
1992-06-01,1950.4,1866.8
1992-07-01,2024.9,2002.6
1992-08-01,2079,2057.7
1992-09-01,1928.9,1932.5
1992-10-01,2009.7,2002.1
1992-11-01,2032.7,1933.5
1992-12-01,2021.8,2055.5
1993-01-01,1999.4,1869
1993-02-01,1875.1,1753.6
1993-03-01,2005.4,1865.3
1993-04-01,2080.4,1927.4
1993-05-01,2151.2,1997.6
1993-06-01,2142,1980.5
1993-07-01,2193.2,2039
1993-08-01,2216.2,2113.9
1993-09-01,2142,2084.5
1993-10-01,2185.3,2131.3
1993-11-01,2130.3,2072.8
1993-12-01,2082.2,2052.5
1994-01-01,2134.3,2095.6
1994-02-01,1963.1,1930.8
1994-03-01,2171.2,2071.1
1994-04-01,2147.7,2047.6
1994-05-01,2252.4,2191.1
1994-06-01,2220.3,2136.6
1994-07-01,2240.8,2170.1
1994-08-01,2095.3,2055.6
1994-09-01,1999.7,1962.6
1994-10-01,2158.6,2146.7
1994-11-01,2118.8,2111.9
1994-12-01,2219.2,2255.7
1995-01-01,2136,2134.3
1995-02-01,1921.9,1945
1995-03-01,2193.8,2150.2
1995-04-01,1912.2,1876
1995-05-01,2046.9,2026
1995-06-01,1986.2,2023.6
1995-07-01,2225.7,2230.4
1995-08-01,2294.9,2255.6
1995-09-01,2079.1,2098.3
1995-10-01,2156.3,2222.5
1995-11-01,2016.9,2092
1995-12-01,2028.2,2186.3
1996-01-01,2050.1,2067.1
1996-02-01,1960.2,1977.4
1996-03-01,2042.6,1939.7
1996-04-01,1888.6,1794.4
1996-05-01,1950.5,1814.7
1996-06-01,2062,1985.7
1996-07-01,2229.5,2107.6
1996-08-01,2230.1,2099.7
1996-09-01,2181.8,2053.8
1996-10-01,2238.8,2104.9
1996-11-01,2194.5,2060.4
1996-12-01,2182.3,2124
1997-01-01,2047.9,1952.6
1997-02-01,2015.4,1863.9
1997-03-01,2217.2,2056
1997-04-01,2191.7,2066.2
1997-05-01,2240.6,2099.1
1997-06-01,2261.5,2113.2
1997-07-01,2252.1,2139.2
1997-08-01,2267.8,2147.4
1997-09-01,2227.5,2148.3
1997-10-01,2140.9,2070.2
1997-11-01,2088.3,2086.1
1997-12-01,2200.2,2222.7
1998-01-01,2156.7,2183.8
1998-02-01,1992.3,2036.6
1998-03-01,2158.9,2167.5
1998-04-01,2138.7,2069.5
1998-05-01,2258.9,2209.7
1998-06-01,2181.1,2121.6
1998-07-01,2378,2316.1
1998-08-01,2349.2,2280.5
1998-09-01,2122.4,2023.6
1998-10-01,2131,2059.5
1998-11-01,1995.1,1906.1
1998-12-01,1890,1886.5
1999-01-01,2026.6,1994.1
1999-02-01,1888.8,1804.9
1999-03-01,2129.6,2007.4
1999-04-01,2123,2020.1
1999-05-01,2176.6,2058.9
1999-06-01,2046.7,1955.7
1999-07-01,2039.2,1968.8
1999-08-01,2136.9,2092
1999-09-01,2088.7,2081.9
1999-10-01,2036.8,2084.1
1999-11-01,2143.8,2215.4
1999-12-01,2121.7,2249.1
2000-01-01,2187.2,2164.8
2000-02-01,2157.7,2172.4
2000-03-01,2349.6,2317.5
2000-04-01,2201.5,2227
2000-05-01,2447.7,2326
2000-06-01,2294.6,2299.5
2000-07-01,2284.9,2313.5
2000-08-01,2439.5,2378.9
2000-09-01,2378.3,2334.7
2000-10-01,2397.7,2397.5
2000-11-01,2310.2,2408.3
2000-12-01,2398.3,2310.7
2001-01-01,2394.1,2441.8
2001-02-01,2240.3,2310.4
2001-03-01,2473.9,2504
2001-04-01,2315.2,2378.3
2001-05-01,2282.8,2276.9
2001-06-01,1772.8,1918.8
2001-07-01,1881.6,1977.5
2001-08-01,2194.4,2249.7
2001-09-01,2299.1,2308.1
2001-10-01,2278.8,2303.4
2001-11-01,2222.6,2296.9
2001-12-01,2361.4,2425.2
2002-01-01,2382.4,2330.1
2002-02-01,2259.8,2220.2
2002-03-01,2409.2,2425.6
2002-04-01,2215.3,2199.1
2002-05-01,2450.1,2485.2
2002-06-01,2420.2,2428.7
2002-07-01,2498.3,2519.5
2002-08-01,2580.4,2597.1
2002-09-01,2579,2599.3
2002-10-01,2644.8,2646.1
2002-11-01,2575.6,2584.7
2002-12-01,2588.5,2659.6
2003-01-01,2539.6,2494.3
2003-02-01,2356.4,2390.3
2003-03-01,2640.9,2659.2
2003-04-01,2522.2,2502.3
2003-05-01,2671.7,2716.1
2003-06-01,2591,2711.8
2003-07-01,2685.9,2792.6
2003-08-01,2769.4,2860.2
2003-09-01,2595.4,2726.4
2003-10-01,2508,2654.8
2003-11-01,2592,2701.1
2003-12-01,2657.2,2829.4
2004-01-01,2677,2808.4
2004-02-01,2572.7,2673.4
2004-03-01,2742.9,2858.1
2004-04-01,2667.1,2786.2
2004-05-01,2745.5,2868.4
2004-06-01,2749.2,2910.1
2004-07-01,2835.5,2954.5
2004-08-01,2890.5,2983.4
2004-09-01,2801.4,2922.2
2004-10-01,2706.4,2917.6
2004-11-01,2757.3,2882.2
2004-12-01,2791.2,3014.2
2005-01-01,2589.8,2816.4
2005-02-01,2590.2,2771.3
2005-03-01,2761.3,2918.4
2005-04-01,2758.4,2940
2005-05-01,2743.4,2983.2
2005-06-01,2490.8,2534.2
2005-07-01,2491.2,2926.3
2005-08-01,1963.2,2992.2
2005-09-01,2588.6,2866.1
2005-10-01,2675.6,2983.5
2005-11-01,2636.7,2800.2
2005-12-01,2656.1,2820.2
2006-01-01,2576.8,2594.3
2006-02-01,2130.7,2229
2006-03-01,2478.7,2519.6
2006-04-01,2416.3,2486.9
2006-05-01,2496.1,2495.1
2006-06-01,2380.4,2440.7
2006-07-01,2723.9,2926.3
2006-08-01,2812.1,3001.2
2006-09-01,2757.1,2922.5
2006-10-01,2787,2946.6
2006-11-01,2704.5,2821.9
2006-12-01,2646.4,2895.8
2007-01-01,2703.3,2866.7
2007-02-01,2130.7,2459.8
2007-03-01,2785,2896.1
2007-04-01,2707.8,2691.8
2007-05-01,2900.6,2991.7
2007-06-01,2732.6,2850
2007-07-01,2868.6,3035
2007-08-01,2939.6,3153.6
2007-09-01,2867.8,3023.9
2007-10-01,2898.8,3095
2007-11-01,2871.6,3012.5
2007-12-01,3010.9,3246.6
2008-01-01,2971,3231.6
2008-02-01,2709.6,2887.9
2008-03-01,2960,3080.7
2008-04-01,2900.4,2958.1
2008-05-01,2972.3,3125.9
2008-06-01,2933.8,3133.3
2008-07-01,3198.2,3289.3
2008-08-01,3141.9,3355.6
2008-09-01,3009.8,3205.2
2008-10-01,2897.3,3105.7
2008-11-01,2323.6,2293.1
2008-12-01,1646,1815.5
2009-01-01,1616.6,1681.9
2009-02-01,1653.8,1598.5
2009-03-01,1731,1656.9
2009-04-01,1728.5,1595.5
2009-05-01,1731,1656.9
2009-06-01,1941.6,1725.6
2009-07-01,2495.9,2245.2
2009-08-01,2676.4,2550.9
2009-09-01,2716.9,2609.1
2009-10-01,2797,2827
2009-11-01,2675.5,2631.5
2009-12-01,2579.5,2641.7
2010-01-01,2751.1,2655.1
2010-02-01,2445.7,2450.7
2010-03-01,2828.5,2742.9
2010-04-01,2707.4,2568.8
2010-05-01,2856,2584.7
2010-06-01,2850,2691.8
2010-07-01,2852.8,2680.6
2010-08-01,2917.3,2654.8
2010-09-01,2703.3,2694.6
2010-10-01,2927.7,2772.5
2010-11-01,2599.6,2488.2
2010-12-01,2407,2464.7
2011-01-01,2795.6,2653
2011-02-01,2676.5,2612.2
2011-03-01,3046.8,2859.4
2011-04-01,2988.1,2805.3
2011-05-01,3276.4,3074.2
2011-06-01,2862.2,2761.5
2011-07-01,3121,2923.2
2011-08-01,3062.2,2346.8
2011-09-01,2859.2,2172.6
2011-10-01,2890.9,2191.9
2011-11-01,2741.1,2145.7
2011-12-01,2705.7,2242.1
2012-01-01,2811.1,2215.2
2012-02-01,2806.2,2154.9
2012-03-01,3112.8,2416.3
2012-04-01,3028.9,2354.2
2012-05-01,2886.7,2234.5
2012-06-01,2762.4,2154.6
2012-07-01,3001.2,2300.2
2012-08-01,2871,2201.3
2012-09-01,2863.8,2206.4
2012-10-01,3153.8,2442
2012-11-01,2843.5,2180.2
2012-12-01,2791,2186.5
2013-01-01,2769.437,2178.041
2013-02-01,2574.894,1999.501
2013-03-01,2858.521,2157.547
2013-04-01,2913.622,2239.881
2013-05-01,2999.775,2240.067
2013-06-01,2836.535,2123.028
2013-07-01,2918.241,2213.095
2013-08-01,2976.77,2308.4
2013-09-01,2981.309,2244.132
2013-10-01,2980.32,2247.802
2013-11-01,2727.159,2055.209
2013-12-01,2625.874,2193.517
2014-01-01,2763.104,2102.952
2014-02-01,2621.952,1949.064
2014-03-01,2979.472,2238.002
2014-04-01,2773.487,2076.291
2014-05-01,2891.691,2181.888
2014-06-01,2718.474,2203.266
2014-07-01,2969.407,2357.12
2014-08-01,2963.39,2441.311
2014-09-01,2874.88,2418.174
2014-10-01,3052.4,2434.747
2014-11-01,2666.147,2162.414
2014-12-01,2622.63,2451.077
2015-01-01,2995.593,2500.763
2015-02-01,2666.853,2172.337
2015-03-01,2768.357,2278.778
2015-04-01,2897.342,2372.167
2015-05-01,2983.106,2452.68
2015-06-01,2776.468,2343.848
2015-07-01,2876.648,2378.113
2015-08-01,2798.697,2365.971
2015-09-01,2500.816,2212.049
2015-10-01,2982.512,2445.078
2015-11-01,2547.996,2170.263
2015-12-01,2463.199,2292.573
2016-01-01,2515.7,2123.33
2016-02-01,2453.03,1936.566
2016-03-01,2529.206,2097.748
2016-04-01,2321.756,1854.489
2016-05-01,2612.378,2115
2016-06-01,2576.69,2149.622
2016-07-01,2841.267,2361.876
2016-08-01,2960.97,2391.591
2016-09-01,2788.269,2296.826
2016-10-01,2966.38,2482.535
2016-11-01,2672.537,2320.969
2016-12-01,2404.204,2214.319
2017-01-01,2868.134,2293.366
2017-02-01,2611.526,2073.46
2017-03-01,2887.216,2375.179
2017-04-01,2927.012,2409.201
2017-05-01,2952.183,2497.984
2017-06-01,2673.045,2285.293
2017-07-01,2852.292,2337.139
2017-08-01,2981.321,2461.266
2017-09-01,2986.492,2441.65
2017-10-01,3095.382,2494.033
2017-11-01,3075.159,2470.478
2017-12-01,2867.874,2432.557
2018-01-01,2913.796,2368.131
2018-02-01,2765.939,2170.824
2018-03-01,3113.184,2442.014
2018-04-01,2994.53,2356.472
2018-05-01,2724.472,2239.203
2018-06-01,2969.824,2374.735
2018-07-01,3086.315,2481.177
2018-08-01,2914.206,2349.081
2018-09-01,3080.824,2532.742
2018-10-01,3223.519,2556.997
2018-11-01,2911.253,2345.018
2018-12-01,2708.686,2438.691
2019-01-01,3020.806,2451.106
2019-02-01,2746.747,2200.532
2019-03-01,2877.683,2355.977
2019-04-01,2970.006,2382.641
2019-05-01,2826.295,2295.396
2019-06-01,2882.544,2277.06
2019-07-01,2504.754,1879.477
2019-08-01,2536.573,1926.313
2019-09-01,2394.487,1906.233
2019-10-01,2690.47,2193.394
2019-11-01,2656.803,2179.277
2019-12-01,2461.766,2232.93
2020-01-01,2740.451,2170.653
2020-02-01,2772.437,2178.222
2020-03-01,2722.125,2098.985
2020-04-01,1929.293,1750.599
2020-05-01,2255.698,1717.946
2020-06-01,2148.399,1678.065
2020-07-01,2626.427,2015.007
2020-08-01,2759.058,2140.395
2020-09-01,2645.379,2015.008
2020-10-01,2853.744,2172.379
2020-11-01,3017.509,2344.082
2020-12-01,2944.336,2346.943
2021-01-01,3028.259,2431.003
2021-02-01,2872.819,2252.068
2021-03-01,2807.442,2174.449
2021-04-01,3045.949,2322.129
2021-05-01,3135.813,2419.579
2021-06-01,3072.763,2386.476
2021-07-01,3097.328,2470.382
2021-08-01,3212.348,2541.996
2021-09-01,3120.541,2489.439
2021-10-01,2943.068,2249.299
2021-11-01,3094.003,2376.985
2021-12-01,,2409.286797
2022-01-01,,2401.450363
2022-02-01,,2265.414889
2022-03-01,,2364.940481
2022-04-01,,2317.078495
2022-05-01,,2349.613028
2022-06-01,,2317.006859
2022-07-01,,2390.533156
2022-08-01,,2419.418568
2022-09-01,,2386.317051
2022-10-01,,2437.156179
2022-11-01,,2388.67824
